date|numDC_SDP|numDC_AIR|numDC_CCN|numDC_OCC|numCDR_CONFB|numCDR_CONFNB|numCDR_CALLB|numCDR_CALLNB|numCDR_DATOSB|TPS_Voice|TPS_SMS|TPS_CCNGY_SSU|TPS_OCCGY_SSU|TPS_OCCGY_CR|TPS_CCNGY_CR|percentKPDR
2020-04-01|14161|4243|52532|7360|4040917|63984419|28433854|6811561|194660821|239041.4|29518.42|3575887.3466666667|683569.8266666667|686378.6566666666|3725132.5833333335|79.34
2020-04-02|10574|4140|52721|7341|3305776|63328979|28508879|6689355|195071691|238645.59333333332|31343.58|3572375.5633333335|674990.13|677777.2566666667|3718957.35|79.30
2020-04-03|10569|4237|53089|7380|3341620|66113477|28965949|6761676|195942549|241237.90333333332|31371.573333333334|3587191.8966666665|679681.5066666667|682648.07|3729649.46|80.18
2020-04-04|10606|4257|51546|7306|3191179|73612433|28296646|6473602|190947487|227801.90333333332|31313.696666666667|3512402.46|674399.7266666667|677520.7166666667|3646235.3133333335|79.47
2020-04-05|10597|3745|50134|7105|2616808|72131779|25402048|5863993|183873713|199701.53333333333|30047.836666666666|3437706.183333333|666307.1|669164.12|3577428.5633333335|76.46
2020-04-06|12177|4477|50000|7062|3327026|76450741|30569797|6927210|184840742|237030.92333333334|37293.54|3427868.1633333336|660622.0066666667|663632.8433333334|3569179.3833333333|78.48
2020-04-07|10852|4645|51524|7297|4008765|84154650|34156539|7292293|191536659|250539.61333333334|50710.433333333334|3498901.5633333335|665854.0466666666|669410.1366666667|3633377.703333333|82.74
2020-04-08|6138|4475|55315|7289|3578168|20624894|34960188|7332139|200813987|251921.09666666668|55243.93|3701816.6566666667|669876.3966666666|670953.57|3889829.55|75.78
2020-04-09|6094|3681|58206|7401|2655454|14018960|28476626|5939734|205210449|199055.18|45305.64666666667|3861529.9166666665|690223.8166666667|690962.2966666666|4059379.1166666667|75.15
2020-04-10|10556|3271|57420|7664|2184513|59249214|24697423|5468930|204189458|172964.05333333334|39641.33|3807117.0866666664|728110.32|730760.7366666667|3976372.0733333332|80.49
2020-04-11|10525|4064|58960|7770|3020046|64915555|29234803|6517700|210968244|207198.13333333333|42132.63|3882727.6133333333|737007.41|739817.7733333333|4050465.26|84.04
2020-04-12|10464|3611|59922|7817|2522843|59944008|26999906|5872878|212401147|191712.39|38031.503333333334|3911371.83|740649.41|743350.7366666667|4076262.946666667|83.37
2020-04-13|11945|4618|61233|8096|3588544|65727901|33294381|7570966|219269384|245200.23666666666|46512.25666666667|3964081.446666667|754154.2266666667|757268.2533333333|4120852.07|87.52
2020-04-14|10663|4330|65180|8470|3979585|68041508|32535895|7041937|229063096|237557.25333333333|45292.096666666665|4140087.3066666666|776961.0666666667|780391.56|4286337.546666667|91.25
2020-04-15|10513|4269|67689|7780|3281703|64063765|33076894|7081199|225413877|240768.99|43654.78666666667|4282237.8533333335|683534.7266666667|687807.3333333334|4414018.196666666|90.14
2020-04-16|10517|4244|67215|8246|3250778|64467719|32601265|6866063|217054591|239968.81666666668|42573.08666666667|4240410.15|740588.84|743409.37|4379714.876666667|92.05
2020-04-17|10550|4371|4300|8726|3354379|65312944|33846538|7136536|223229271|245912.88666666666|41616.43|4344541.9|785348.06|788577.0833333334|4477240.0|94.65
2020-04-18|10556|4049|71|9230|3274721|66518092|30841694|5181087|188533141|228009.85|37515.59333333333|4369266.33|833411.2433333333|837474.5866666667|4497486.21|90.47
2020-04-19|10622|3825|65935|7696|4803996|68272986|28140594|5916256|215147222|205315.92666666667|34069.73|4449313.53|661785.8766666667|663854.83|4565341.953333333|102.23
2020-04-20|12022|4688|70935|7500|3676425|69343196|34282774|7209634|234837866|248316.92666666667|38539.636666666665|4487762.663333333|627815.8266666667|631490.98|4610008.526666666|102.72
2020-04-21|10735|4236|70544|9042|3972570|72538740|33153140|6782089|247865802|238286.48666666666|37459.74333333333|4413501.083333333|793890.9833333333|797737.46|4548511.816666666|102.44
2020-04-22|10569|4260|71014|9504|3223370|68048863|32755323|6684006|257325931|238826.82|38099.48|4434313.04|832146.54|836844.8466666667|4567518.64|103.00
2020-04-23|10585|4218|71868|9538|3255283|68292215|32809828|6821828|260537237|239557.87333333332|37260.456666666665|4483312.716666667|841328.0833333334|845810.22|4624784.8966666665|100.32
2020-04-24|10682|4342|73590|9982|3601445|69930631|33539768|6903676|265873904|246008.78333333333|37280.17333333333|4582579.19|883611.6133333333|888475.7133333334|4718166.8966666665|102.94
2020-04-25|10593|4127|73962|9893|3149291|66563573|32288977|6524934|265244570|239539.09666666668|34077.92333333333|4597385.153333333|877827.4233333333|882801.1533333333|4729558.593333334|101.89
2020-04-26|10587|3812|72898|9667|2758125|66240627|28872669|6017846|258479852|215526.21666666667|32866.07666666667|4542838.18|869442.9033333333|874200.4766666667|4677094.726666667|99.37
2020-04-27|12123|4764|73171|9991|3911192|71043979|35485324|7114246|264030106|261239.16333333333|36618.32|4558904.36|881721.02|887456.2733333333|4689818.123333333|102.84
2020-04-28|10811|4451|74742|10103|4196898|74142783|35100347|6922523|270475651|258665.09333333332|39133.28|4625751.203333333|881547.96|886542.0766666667|4760161.943333333|105.36
2020-04-29|10637|4447|76058|10411|3446278|69590582|35476988|6931065|275431645|260066.19666666666|39279.81|4706639.6466666665|904089.74|909400.3366666667|4836405.253333333|106.38
2020-04-30|10617|4571|77755|10671|4385756|71257573|36576949|6925595|282395924|270646.7833333333|40416.14333333333|4796689.023333333|919526.6066666667|925173.1066666667|4921494.393333334|109.16
2020-05-01|14200|4020|78550|10576|4107188|66251944|32582576|6346702|281596910|239353.23|36391.60333333333|4828407.72|915259.18|920753.8166666667|4950585.39|107.45
2020-05-02|10644|4179|80241|9670|3198495|68566289|34146808|6470112|283031103|253045.54666666666|35801.136666666665|4939485.476666667|783857.5666666667|790757.01|5054630.713333333|108.55
2020-05-03|10610|3705|79028|8556|2638111|65265170|29252184|5822863|274687907|220730.19666666666|32972.0|4891534.44|721913.4433333334|726453.7333333333|5008318.05|104.04
2020-05-04|12210|4870|75710|10196|3805356|73292651|37039730|7321481|277451524|278366.87666666665|38781.08666666667|4698896.456666667|871901.3266666667|876250.8666666667|4806865.546666667|108.08
2020-05-05|10933|4453|77176|10474|4164619|77085131|36739079|7036885|281151884|277235.7766666667|37323.47666666667|4758366.783333333|885929.1766666666|890567.88|4867317.026666666|110.47
2020-05-06|10778|4380|80217|9405|3320693|74077609|36321013|7096971|286002620|276120.69333333336|35927.99|4938451.8966666665|770609.7966666666|775293.4533333334|5041569.876666667|111.07
2020-05-07|10789|4268|79693|10633|3246079|72759165|36108658|7006485|289427575|277215.0833333333|36923.30333333334|4891204.81|892080.9933333333|896333.9333333333|4998942.66|112.26
2020-05-08|10760|4360|79864|10845|3351657|72278279|37135205|7094042|290387388|285786.7366666667|36364.24|4893735.08|908798.9966666667|913415.2333333333|5008525.32|112.83
2020-05-09|10614|4291|79062|10795|3300842|69588641|36036220|6827743|286589259|278172.20666666667|33219.28333333333|4856009.573333333|906737.17|911610.5333333333|4982730.953333333|110.94
2020-05-10|10526|4083|82323|11161|3104929|67178136|37818695|6852469|297993856|308812.57|29831.736666666668|5006832.226666667|935274.4366666666|940502.5633333334|5132229.053333334|114.30
2020-05-11|12043|4686|76723|10337|3648276|71042931|36423701|7131764|279360238|284646.54333333333|34238.44|4744763.543333333|859739.7266666667|864716.8133333334|4874561.513333334|109.43
2020-05-12|10753|4278|76258|10442|4018552|73797255|35628913|7053001|278537386|275059.82|33891.08|4687847.316666666|872275.0066666667|876673.9133333333|4813823.653333333|109.66
2020-05-13|10566|4216|76225|10346|3196166|68493676|35343597|6821578|278427522|271741.98|32555.426666666666|4707865.52|857984.78|862553.6466666666|4832427.613333333|108.31
2020-05-14|10561|4211|75440|10490|3195785|68387050|35747089|6866407|275564372|276098.06|32556.056666666667|4642337.32|874282.55|878806.5133333333|4755586.12|107.96
2020-05-15|10652|4352|76844|10322|3487460|71554236|37061739|7257260|279479056|287936.5966666667|33731.09333333333|4738362.706666667|853195.73|858213.4366666666|4849108.056666667|108.17
2020-05-16|10566|4299|78675|10255|3347596|68410402|35830639|6907710|281762568|280267.94666666666|31141.58|4840847.046666667|850631.6333333333|855368.03|4946345.766666667|108.87
2020-05-17|10552|3738|75619|10120|2694473|65032520|29329127|5955379|269749359|234759.74666666667|28344.556666666667|4668801.29|857932.3433333334|862085.36|4780930.666666667|108.17
2020-05-18|12061|4909|74397|10168|3911866|71721887|37316781|7345884|279259555|292224.76|33512.81333333333|4603649.546666667|842424.0933333334|847791.3433333334|4715654.706666667|103.23
2020-05-19|10764|4262|76679|10239|4105437|73125654|36087910|7146292|278383684|282195.85333333333|34618.16333333333|4719733.393333334|841195.33|845726.9066666666|4830509.253333333|106.23
2020-05-20|10600|4478|76498|10203|3541723|70854793|37305600|7308535|278925190|292251.50333333336|36248.08666666667|4711329.6466666665|838482.2966666666|843213.81|4820746.206666667|103.24
2020-05-21|10720|4531|78021|10370|3617684|73260297|37320431|7371795|284976980|292771.0|37323.57666666667|4789909.91|843812.3866666667|848597.0766666667|4893307.89|105.72
2020-05-22|10734|4482|79036|10251|3810862|74025632|38093834|7485944|290199338|300933.8433333333|38684.60333333333|4863004.986666666|797286.63|803582.4|4961268.366666666|107.20
2020-05-23|10616|4327|79405|10402|3459484|70153467|36883188|7103810|287755128|290657.58666666667|37993.49|4864747.27|846154.3166666667|850536.9533333334|4961967.68|105.59
2020-05-24|10607|3703|77572|10445|2720246|66588107|30090411|6141584|279367723|243852.71333333335|33282.41333333333|4774748.213333333|869087.34|873395.28|4878435.433333334|101.48
2020-05-25|12125|3953|72121|10292|2979222|66900547|29882334|6215770|262557984|235389.88666666666|33293.93|4485465.743333333|871456.05|875766.1533333333|4601647.453333333|96.17
2020-05-26|10798|4917|75512|10250|4630902|76987587|38200322|7376461|277416747|305193.4033333333|39929.25666666667|4694086.523333333|840706.8533333334|845789.19|4801962.57|104.35
2020-05-27|10666|4529|76241|10258|3711856|70623478|37435245|7398256|279050897|295991.57|38407.64666666667|4695551.243333333|821513.6733333333|826324.8333333334|4816601.72|103.57
2020-05-28|10664|4618|77436|10240|3747274|71450418|37809248|7544028|282199887|298289.61333333334|37447.276666666665|4779784.696666666|835898.61|840535.2233333334|4892874.376666667|105.06
2020-05-29|10687|4731|78537|10387|3826800|72268362|39249473|7718334|287336119|308806.85333333333|36306.79666666667|4843024.49|849564.2533333333|854110.5833333334|4957643.263333334|106.71
2020-05-30|10698|4558|79671|10476|3736718|71754578|37099250|7082943|288864236|289724.7866666667|32042.253333333334|4905056.593333334|865621.1133333333|870032.1866666666|5019567.0|106.33
2020-05-31|10688|3976|77006|10464|3044378|68025766|31978316|6211664|278908465|258335.59333333332|27774.823333333334|4764767.496666667|876930.4033333333|881229.4466666667|4884174.18|101.93
2020-06-01|15820|5127|76823|10332|5537722|72618465|39914947|7760520|282557046|316957.52|33560.183333333334|4767228.47|846550.7033333334|851327.1133333333|4877475.053333334|105.66
2020-06-02|10935|4678|78166|10333|4698925|77250082|39329860|7432004|285596777|309285.25666666665|33189.21666666667|4824654.263333334|838509.2733333333|843212.8666666667|4935399.3533333335|107.17
2020-06-03|10713|4559|75664|10067|3678268|72212467|38611201|7420266|278402279|300093.7766666667|33011.4|4683210.616666666|801455.8433333334|805833.9733333334|4799544.383333334|103.95
2020-06-04|10717|4559|75479|9712|3722054|72605005|39537467|7417267|275116014|306267.31666666665|30975.863333333335|4695615.203333333|757304.8433333334|763457.4233333333|4805159.946666666|103.64
2020-06-05|10735|4639|75926|9925|3821385|73847479|40214259|7525911|277857097|310096.18|30351.376666666667|4723118.606666666|792520.8866666667|796880.9566666667|4839775.573333333|104.34
2020-06-06|10711|4436|75997|9772|3683763|68297954|38401034|6911850|275894568|298330.7633333333|27833.18|4737743.75|790184.73|793486.61|4862542.403333333|107.77
2020-06-07|10640|3629|73035|9795|2719151|64168852|31721140|7729004|262431536|263118.83666666667|26372.86|4578567.633333334|818468.5633333334|821552.1|4726482.206666667|102.51
2020-06-08|12114|4872|72924|9816|4290611|71401833|39364002|7695027|267791365|307705.54|29406.446666666667|4570462.626666667|810346.9633333334|814093.3766666667|4720550.8966666665|106.11
2020-06-09|10808|4345|74305|9797|4576238|74705102|38521768|7171552|273967465|298556.9633333333|28301.166666666668|4654321.693333333|793524.71|797100.7266666667|4787438.003333333|108.65
2020-06-10|10611|4232|73755|9642|3616221|69153730|37770803|7151998|270952332|290132.75666666665|28285.516666666666|4617287.773333333|795288.8633333333|798530.3766666667|4770819.903333333|106.07
2020-06-11|10626|4246|74269|9499|3652332|69363119|38123104|7190000|269142943|292191.68333333335|28721.856666666667|4665839.286666667|784226.0966666667|787591.77|4812841.403333333|106.16
2020-06-12|10618|4517|74193|9899|3773793|69099531|39102318|7319722|270758777|299241.06666666665|28782.81|4665952.86|828923.3266666667|832299.69|4809886.04|107.02
2020-06-13|10627|4571|75242|9747|3862177|69737406|39336821|7122412|272421254|303567.80333333334|28048.103333333333|4712926.2|804059.6733333333|807708.2833333333|4839522.73|107.38
2020-06-14|10608|3910|73178|9632|3039336|64688527|31808172|6193924|263413053|257728.88333333333|24657.903333333332|4598854.15|816323.2566666667|819415.8|4733062.346666667|102.11
2020-06-15|12119|4050|68521|9355|3201869|64712738|30250858|6084567|246967171|237888.12333333332|24499.483333333334|4365310.32|802021.7966666666|805068.2866666666|4498604.52|97.08
2020-06-16|10804|5078|71454|9452|4934966|75231133|39680231|7403259|261089476|306376.7966666667|28390.206666666665|4531320.706666667|789608.08|793075.0033333333|4658929.6|105.00
2020-06-17|10647|4591|72834|9850|3776425|70741600|38694180|7183900|267322900|297379.16333333333|28123.32|4588919.55|818329.6466666666|821995.1733333333|4712273.37|106.33
2020-06-18|10665|4501|73093|9668|3714745|69288305|38802185|7244993|267255415|298080.98333333334|27467.603333333333|4600790.736666666|795315.95|798570.3033333333|4726122.796666667|106.02
2020-06-19|10712|4770|75333|9771|4055924|71980128|41616698|7673589|274606178|319215.0966666667|28220.31|4732607.1033333335|805718.3733333333|809113.4966666667|4853650.176666667|108.99
2020-06-20|10669|4618|75392|9829|3816463|70760582|39884968|6982650|275110882|309174.33666666667|28947.56333333333|4735669.703333333|805705.4633333334|809272.4|4855734.893333334|108.52
2020-06-21|10667|4128|76163|8445|3282517|66992381|35956533|6602483|271500554|292400.68666666665|24984.85|4780196.943333333|670981.1366666667|674502.9166666666|4907389.27|104.25
2020-06-22|12196|3914|69350|8973|2987936|64931254|29763972|5888557|248806655|239101.73666666666|24057.63|4418775.923333333|762287.0066666667|764915.2433333333|4557084.69|97.25
2020-06-23|10856|5068|71094|9192|4902222|76958989|39127515|7696663|258598939|303166.21|30492.766666666666|4520850.613333333|766019.4366666666|769346.0933333334|4653603.116666666|104.27
2020-06-24|10700|4603|72126|9369|3788371|71360350|38995706|7492609|263653719|303959.43333333335|29941.393333333333|4574052.796666667|770331.18|773567.4266666666|4703264.63|105.22
2020-06-25|10723|4578|74257|8784|3781682|70851431|39055202|7480665|266308223|300965.69|29283.73|4683188.086666667|697576.9366666666|701313.82|4804716.983333333|105.38
2020-06-26|10713|4727|75687|9453|3922512|71261921|40233141|7357766|272089309|308045.36|29839.42|4752009.276666666|781400.4466666667|784439.2033333334|4879362.636666667|107.80
2020-06-27|10728|4748|74701|8824|3975275|71828662|39632062|7113377|270938780|309093.93333333335|26790.763333333332|4715941.456666667|701097.2866666666|706178.1633333333|4809129.12|106.33
2020-06-28|10724|3906|72983|9498|3021821|65830550|31451954|6001407|261586596|252059.59333333332|24252.23|4583672.516666667|798587.68|801290.09|4713056.033333333|101.70
2020-06-29|12270|4095|68620|9237|3239268|66514432|31454096|6198415|247799569|248223.31666666668|24761.87|4378762.696666666|787723.1|790658.7966666666|4515003.68|97.60
2020-06-30|10944|5307|72794|9100|5185621|78331095|41010982|7837216|263219460|318371.0333333333|30389.32|4607886.51|753665.15|757003.27|4738203.093333334|106.10
2020-07-01|14353|4884|70948|8900|5386931|67869108|40629200|7477305|258625628|313969.62666666665|29324.476666666666|4512008.223333334|729636.1133333333|732548.7066666667|4644885.953333333|103.43
2020-07-02|10767|4773|67061|8695|4018308|70870402|40547966|7531781|247331178|311856.38333333336|28850.04|4312506.416666667|702664.2466666667|705628.22|4450740.1466666665|100.34
2020-07-03|10767|4854|64939|8482|4104179|70605039|41925584|7732543|240913685|321328.5466666667|29086.953333333335|4219915.136666667|688782.82|691978.65|4360533.893333334|98.50
2020-07-04|10765|4730|61341|8372|3993890|68178641|39878222|7098658|230656329|306733.63666666666|27809.316666666666|4049536.566666667|677236.0333333333|680174.3466666667|4188337.86|94.38
2020-07-05|10757|4104|56984|7902|3245128|65096735|33115971|6186762|213071476|265873.26666666666|24678.06|3837437.6566666667|647285.9133333333|650178.3833333333|3986327.8633333333|87.26
2020-07-06|12321|5220|55998|7822|4433306|70367928|40378257|7569595|212149630|313020.5366666667|29214.216666666667|3801568.9433333334|641190.83|644341.63|3951917.946666667|89.68
2020-07-07|10990|4771|53839|7745|4920725|73849287|39255784|7203666|206653813|302536.0333333333|28267.23|3704663.08|630249.9233333333|633390.2033333334|3863385.18|88.55
2020-07-08|10793|4661|52319|7613|3865552|68805501|39482207|7260849|200786416|304306.98|28626.81333333333|3621369.0866666664|621558.82|624737.28|3782890.1433333335|85.85
2020-07-09|10791|4620|58177|8020|3811903|68217550|39727740|7269952|218501473|304146.06333333335|28681.916666666668|3940968.6533333333|683017.89|686109.6866666666|4107010.2466666666|90.90
2020-07-10|10756|4701|59389|7093|3899242|68655305|40766814|7428215|218952161|310441.8333333333|28595.113333333335|4040602.9166666665|588905.59|592761.81|4206082.15|90.33
2020-07-11|10727|4587|56800|7812|3812065|67402954|39354119|7028121|213240860|302407.55|26918.09|3890529.5633333335|679539.3466666667|682510.1766666666|4068283.4633333334|88.39
2020-07-12|10670|4054|54017|7647|3167471|64437648|32473969|6259852|201249127|261234.05|24881.356666666667|3732298.63|676969.8666666667|679899.1166666667|3922957.473333333|83.18
2020-07-13|12171|5208|56008|7572|4443769|69336124|39816516|7494606|209518873|308865.38|28771.243333333332|3834146.446666667|661322.8533333334|664681.27|4018633.05|88.09
2020-07-14|10901|4700|55042|7764|4806346|72557095|39064427|7205060|210254598|304000.13|27982.71|3761908.4566666665|665751.8366666667|669391.7633333333|3929893.14|88.84
2020-07-15|10721|4651|56518|7606|3861982|68773194|39672963|7233158|210836136|303729.3433333333|28905.53|3836538.4|656596.0066666667|659625.23|4009678.5033333334|88.38
2020-07-16|10653|4690|57451|7735|3917573|67674264|40223174|7271395|215039653|306446.5933333333|29061.456666666665|3902215.756666667|665835.1233333333|668726.18|4069496.8933333335|89.61
2020-07-17|10663|4654|57281|7735|3850988|67408003|40240057|7293255|213902278|307510.7033333333|28955.333333333332|3891395.2066666665|664530.8233333334|667885.88|4056742.203333333|89.19
2020-07-18|10666|4493|55696|7652|3719118|66944420|38628845|6901052|207264963|296927.1433333333|26875.26|3813300.98|672190.6933333334|674862.8833333333|3976176.79|86.44
2020-07-19|10644|3864|53170|7540|2993055|63675364|31218007|6049672|196880878|250618.00666666665|24149.81333333333|3677873.82|670875.1466666666|673518.85|3843074.9566666665|81.42
2020-07-20|12154|3932|50398|7243|3020826|63494462|29665781|6002637|187765441|234465.94333333333|24682.06333333333|3539399.4|656742.9433333334|659400.7466666667|3710949.243333333|78.09
2020-07-21|10870|5259|53936|7370|5092971|76611203|39951010|7641436|202571324|307267.5133333333|29714.883333333335|3739168.1533333333|653186.67|656311.9233333333|3902818.1033333335|86.84
2020-07-22|10728|4697|54544|7518|3910129|70900044|39225707|7362971|205075124|301489.57|28489.9|3752351.3966666665|652284.2766666666|655207.3833333333|3915239.9266666668|86.92
2020-07-23|10712|4635|54752|7693|3887488|68235304|38822591|7199763|206102709|295664.81333333335|28407.826666666668|3762529.2933333335|670449.36|673641.3966666666|3929658.6233333335|86.95
